,0,1
0,2.0479162282777845,2.633607997215917
1,0.4560437445700738,3.437549995543481
2,1.437819695430614,2.5894550631100097
3,1.799059615180383,1.8994584654877993
4,3.1215670999211986,1.3216361598989768
5,1.8843917911384296,2.1407917264988807
6,1.4798840131344255,3.047143699828553
7,2.464139376060596,2.368270963349754
8,2.7854647881223134,4.4808071232045315
9,1.2434540999279764,1.6503615491296144
10,-0.27038252717897526,0.6738372455920318
11,3.8254213590072856,4.188409524462039
12,3.1690750298732033,1.0598683670909408
13,2.2649148652022255,1.6819207845474766
14,2.7600050656211814,3.7502022872901257
15,-1.908231182854516,-2.7093418374062614
16,-2.4842441116540352,-2.2201531853361742
17,-3.2209975947295697,-1.0936647151440415
18,-3.0132014133819016,-1.449158824117309
19,-2.6705658042031346,-2.6843800878102515
20,-2.71193506452273,-3.0626169613105354
21,-2.0173952701797475,-2.0454424518625065
22,-2.0084414445189482,-2.362864705968608
23,-1.8154263667044022,-0.7336136289199591
24,-2.4314284694172645,-0.9800276931130556
25,-2.2969381628847927,-2.0531514922890333
26,-2.50887971587108,-2.6220547522711586
27,-0.017176790912961204,-3.8285735969123276
28,-2.3801667021030655,-1.5895020085014435
29,-2.2980145812658823,-0.3502105372875557
